Application ID,Application Start Time,Application End Time,Applicant Name,Applicant Email,Applicant Phone #,Applicant Social Security #,Applicant Address,Renter Quantity,Unit Type,Requested Amount,Originating IP Address,Classification,Originating Country
1003930,2022-05-10 05:02:55.000000,2022-05-10 05:24:41.000000,"Cole, Eric",e.cole@randatmail.com,(521)-456-1491,772-44-2498,"7583 Witting Fords, Apt. 646, 04198-7809, Lednerburgh, South Dakota, United States",2,Single-Family,46000.00,138.176.225.126,Legitimate,United States
100404,2022-05-09 20:31:01.000000,2022-05-09 20:44:01.000000,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"44176 Bailey Mills, Apt. 449, 86031, East Selmerburgh, Oregon, United States",1,Single-Family,24000.00,98.26.230.123,Legitimate,United States
1004333,2022-05-03 11:42:28.000000,2022-05-03 11:46:15.000000,"Cole, Eric",e.cole@randatmail.com,(521)-456-1491,772-44-2498,"05886 Goodwin Grove, Suite 458, 38074, East Daynaburgh, Alabama, United States",3,Single-Family,23000.00,226.240.84.226,Legitimate,
1004736,2022-01-18 16:29:32.000000,2022-01-18 16:39:17.000000,"Cole, Eric",e.cole@randatmail.com,(521)-456-1491,772-44-2498,"71274 Nicholas Estate, Apt. 248, 81086-2142, Dibbertfurt, West Virginia, United States",3,Single-Family,7000.00,157.159.75.198,Legitimate,France
1005139,2022-01-23 15:25:59.000000,2022-01-23 15:39:16.000000,"Cole, Eric",e.cole@randatmail.com,(521)-456-1491,772-44-2498,"2164 Blanda Parkway, Apt. 963, 15807, Jotown, Oklahoma, United States",1,Multi-Family,43000.00,234.184.255.240,Legitimate,
1005542,2022-04-21 08:02:59.000000,2022-04-21 08:03:55.000000,"Cole, Eric",e.cole@randatmail.com,(521)-456-1491,772-44-2498,"44164 Schneider Coves, Apt. 568, 41171, New Adelia, Iowa, United States",1,Multi-Family,46000.00,32.104.223.84,Fraud,United States
1005945,2022-04-03 01:06:41.000000,2022-04-03 01:28:28.000000,"Cole, Eric",e.cole@randatmail.com,(521)-456-1491,772-44-2498,"48282 Russel Rapid, Suite 693, 79920, Lake Kristaburgh, Massachusetts, United States",2,Multi-Family,11000.00,96.206.230.223,Legitimate,United States
1006348,2022-06-02 08:22:30.000000,2022-06-02 08:23:30.000000,"Cole, Eric",e.cole@randatmail.com,(521)-456-1491,772-44-2498,"5732 Brain Summit, Apt. 957, 58966-6469, Hodkiewiczshire, Alaska, United States",2,Multi-Family,57000.00,56.131.181.25,,United States
1006751,2022-01-13 14:20:06.000000,2022-01-13 14:39:19.000000,"Cole, Eric",e.cole@randatmail.com,(521)-456-1491,772-44-2498,"54236 Cecile Light, Apt. 113, 37138, West Nikkoton, Massachusetts, United States",3,Multi-Family,25000.00,48.73.158.235,,United States
1007154,2022-05-18 03:39:07.000000,2022-05-18 03:48:20.000000,"Cole, Eric",e.cole@randatmail.com,(521)-456-1491,772-44-2498,"82076 Crooks Unions, Apt. 688, 52021-6073, Lake Ernestine, Florida, United States",3,Multi-Family,30000.00,171.41.233.97,Legitimate,China
1007557,2022-05-09 01:38:24.000000,2022-05-09 01:49:26.000000,"Cole, Harold",h.cole@randatmail.com,(043)-743-9721,369-74-1305,"71033 Edgar Estates, Apt. 040, 78976, Brownchester, North Dakota, United States",1,Single-Family,24000.00,74.133.48.121,Legitimate,United States
1007960,2022-01-22 03:12:46.000000,2022-01-22 03:13:15.000000,"Cole, Harold",h.cole@randatmail.com,(043)-743-9721,369-74-1305,"8520 Destiney Street, Suite 075, 77933, Frederikport, Wisconsin, United States",1,Single-Family,51000.00,0.130.12.60,,
100807,2022-01-18 20:07:57.000000,2022-01-18 20:17:20.000000,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"5280 Wolf Village, Suite 279, 11986-1255, North Adrianna, Delaware, United States",2,Single-Family,21000.00,36.236.127.5,,Taiwan
1008363,2022-06-07 04:39:22.000000,2022-06-07 04:57:02.000000,"Cole, Harold",h.cole@randatmail.com,(043)-743-9721,369-74-1305,"008 Swaniawski Locks, Apt. 543, 89042-2935, Port Rudy, Connecticut, United States",2,Single-Family,49000.00,173.181.72.245,Legitimate,Canada
1008766,2022-03-09 07:10:26.000000,2022-03-09 07:24:20.000000,"Cole, Harold",h.cole@randatmail.com,(043)-743-9721,369-74-1305,"77459 Herta Avenue, Suite 206, 11987, Port Monroefurt, Hawaii, United States",2,Single-Family,10000.00,26.208.80.201,,United States
1009169,2022-04-09 01:46:45.000000,2022-04-09 01:56:15.000000,"Cole, Harold",h.cole@randatmail.com,(043)-743-9721,369-74-1305,"161 Turner Underpass, Apt. 004, 72954-8827, West Norberthaven, Alabama, United States",3,Single-Family,38000.00,64.164.189.173,Legitimate,United States
1009572,2022-06-02 15:33:59.000000,2022-06-02 15:50:20.000000,"Cole, Harold",h.cole@randatmail.com,(043)-743-9721,369-74-1305,"7434 Adriel Stravenue, Apt. 758, 82050, Whiteland, Connecticut, United States",3,Single-Family,56000.00,82.9.244.118,Fraud,United Kingdom
1009975,2022-01-08 01:50:00.000000,2022-01-08 02:09:52.000000,"Cole, Harold",h.cole@randatmail.com,(043)-743-9721,369-74-1305,"46023 Mosciski Greens, Suite 218, 59740, Christianaview, South Carolina, United States",1,Multi-Family,51000.00,226.27.26.220,Fraud,
1010378,2022-04-18 14:36:42.000000,2022-04-18 14:53:04.000000,"Cole, Harold",h.cole@randatmail.com,(043)-743-9721,369-74-1305,"730 Kelvin Oval, Suite 617, 40626, Port Michele, Tennessee, United States",1,Multi-Family,55000.00,28.167.9.248,Fraud,United States
1010781,2022-04-12 16:09:15.000000,2022-04-12 16:16:23.000000,"Cole, Harold",h.cole@randatmail.com,(043)-743-9721,369-74-1305,"5175 Justus Loop, Apt. 938, 05500-7126, Lucieton, Ohio, United States",2,Multi-Family,40000.00,212.85.135.251,Legitimate,France
1011184,2022-06-07 16:03:30.000000,2022-06-07 16:14:25.000000,"Cole, Harold",h.cole@randatmail.com,(043)-743-9721,369-74-1305,"6618 Verner Courts, Suite 741, 35275, West Madalineside, Maryland, United States",2,Multi-Family,57000.00,141.180.192.40,Fraud,United States
1011587,2022-04-22 21:53:38.000000,2022-04-22 22:03:43.000000,"Cole, Harold",h.cole@randatmail.com,(043)-743-9721,369-74-1305,"254 Barry Field, Apt. 645, 18031-9018, Kuphalton, Alabama, United States",3,Multi-Family,19000.00,23.54.38.254,Legitimate,United States
1011990,2022-03-26 02:33:34.000000,2022-03-26 02:37:28.000000,"Cole, Harold",h.cole@randatmail.com,(043)-743-9721,369-74-1305,"0873 Powlowski Parks, Apt. 281, 59782-3691, Lucianoland, Nevada, United States",3,Multi-Family,27000.00,125.206.119.169,Legitimate,Japan
101210,2022-02-13 05:00:51.000000,2022-02-13 05:17:09.000000,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"46047 Crona Lake, Suite 938, 91973-3901, Leschbury, Nebraska, United States",2,Single-Family,34000.00,114.186.193.170,,Japan
1012393,2022-02-20 04:34:13.000000,2022-02-20 04:43:06.000000,"Cole, Lilianna",l.cole@randatmail.com,(245)-964-8520,638-40-4449,"59960 Stokes Fall, Apt. 165, 34526, New Coleman, Kentucky, United States",1,Single-Family,21000.00,155.197.167.14,Legitimate,United States
1012796,2022-06-13 18:01:49.000000,2022-06-13 18:09:10.000000,"Cole, Lilianna",l.cole@randatmail.com,(245)-964-8520,638-40-4449,"113 Williamson Spurs, Apt. 458, 56086-2583, Bryceton, Montana, United States",1,Single-Family,6000.00,195.3.56.21,,France
1013199,2022-04-16 07:52:17.000000,2022-04-16 07:52:51.000000,"Cole, Lilianna",l.cole@randatmail.com,(245)-964-8520,638-40-4449,"2889 Konopelski Union, Apt. 471, 58228, Lake Maraville, Maine, United States",2,Single-Family,55000.00,54.253.103.38,Fraud,Australia
1013602,2022-05-19 22:05:52.000000,2022-05-19 22:22:56.000000,"Cole, Lilianna",l.cole@randatmail.com,(245)-964-8520,638-40-4449,"25605 Fadel Walk, Apt. 079, 94455, North Ally, Vermont, United States",3,Single-Family,16000.00,25.56.1.62,,United Kingdom
1014005,2022-03-25 05:04:33.000000,2022-03-25 05:10:51.000000,"Cole, Lilianna",l.cole@randatmail.com,(245)-964-8520,638-40-4449,"38916 Johnson Center, Suite 034, 97995-9729, Delilahland, Alabama, United States",3,Single-Family,12000.00,138.33.36.134,Legitimate,United States
1014408,2022-02-02 07:32:52.000000,2022-02-02 07:46:49.000000,"Cole, Lilianna",l.cole@randatmail.com,(245)-964-8520,638-40-4449,"75697 Justen Plaza, Apt. 085, 46707, Lake Zena, Colorado, United States",1,Multi-Family,23000.00,56.200.169.77,Legitimate,United States
1014811,2022-04-16 01:36:47.000000,2022-04-16 01:51:18.000000,"Cole, Lilianna",l.cole@randatmail.com,(245)-964-8520,638-40-4449,"935 Kassulke Loaf, Apt. 170, 97770, Carolehaven, South Dakota, United States",1,Multi-Family,44000.00,162.197.37.224,,United States
1015214,2022-01-11 12:30:52.000000,2022-01-11 12:40:15.000000,"Cole, Lilianna",l.cole@randatmail.com,(245)-964-8520,638-40-4449,"261 Kemmer Bypass, Suite 344, 78862-7420, Joymouth, Hawaii, United States",2,Multi-Family,40000.00,89.252.237.48,Legitimate,Bulgaria
1015617,2022-06-05 01:22:43.000000,2022-06-05 01:24:19.000000,"Cole, Lilianna",l.cole@randatmail.com,(245)-964-8520,638-40-4449,"386 Vandervort Road, Apt. 415, 84676-4774, Lindgrenland, Minnesota, United States",2,Multi-Family,25000.00,128.235.146.252,Legitimate,United States
1016020,2022-02-23 23:45:36.000000,2022-02-23 23:47:09.000000,"Cole, Lilianna",l.cole@randatmail.com,(245)-964-8520,638-40-4449,"475 Hailey Springs, Suite 099, 90810, Tillmanchester, West Virginia, United States",3,Multi-Family,58000.00,55.66.90.142,Fraud,United States
101613,2022-05-23 22:03:41.000000,2022-05-23 22:14:24.000000,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"7700 Nikko Trace, Suite 847, 59174, North Oral, Minnesota, United States",3,Single-Family,45000.00,141.45.203.127,Legitimate,Germany
1016423,2022-05-07 15:40:01.000000,2022-05-07 15:53:49.000000,"Cole, Lilianna",l.cole@randatmail.com,(245)-964-8520,638-40-4449,"41378 Selmer Shoals, Suite 329, 22266, New Perry, Washington, United States",3,Multi-Family,21000.00,147.128.174.116,Legitimate,United States
1016826,2022-04-17 22:30:00.000000,2022-04-17 22:50:42.000000,"Cole, Maximilian",m.cole@randatmail.com,(162)-065-7801,263-89-3242,"768 Bogisich Fork, Suite 862, 41868-5346, Kohlerberg, Nevada, United States",1,Single-Family,30000.00,26.223.128.59,,United States
1017229,2022-05-23 23:25:45.000000,2022-05-23 23:35:36.000000,"Cole, Maximilian",m.cole@randatmail.com,(162)-065-7801,263-89-3242,"000 Coralie Groves, Apt. 344, 05617-2275, Schummstad, Illinois, United States",1,Single-Family,47000.00,115.35.140.174,Legitimate,China
1017632,2022-03-16 16:25:57.000000,2022-03-16 16:47:30.000000,"Cole, Maximilian",m.cole@randatmail.com,(162)-065-7801,263-89-3242,"7276 Murray Forge, Suite 503, 99192-4796, Margueriteton, Vermont, United States",2,Single-Family,19000.00,69.116.213.169,Legitimate,United States
1018035,2022-05-19 09:33:24.000000,2022-05-19 09:34:18.000000,"Cole, Maximilian",m.cole@randatmail.com,(162)-065-7801,263-89-3242,"467 Roger Avenue, Apt. 716, 47420, South Giovannyville, Rhode Island, United States",2,Single-Family,36000.00,199.185.118.115,Fraud,Canada
1018438,2022-01-05 08:32:21.000000,2022-01-05 08:43:55.000000,"Cole, Maximilian",m.cole@randatmail.com,(162)-065-7801,263-89-3242,"6341 Beahan Way, Suite 591, 57428-9520, Baileyshire, Wisconsin, United States",3,Single-Family,53000.00,79.124.57.72,Fraud,Bulgaria
1018841,2022-06-14 00:15:50.000000,2022-06-14 00:37:54.000000,"Cole, Maximilian",m.cole@randatmail.com,(162)-065-7801,263-89-3242,"55717 Gusikowski Radial, Apt. 672, 67559, Zboncakstad, Pennsylvania, United States",3,Single-Family,38000.00,149.8.136.188,Legitimate,United States
1019244,2022-05-24 12:13:40.000000,2022-05-24 12:22:37.000000,"Cole, Maximilian",m.cole@randatmail.com,(162)-065-7801,263-89-3242,"1490 Yundt Vista, Apt. 902, 54119, Johnstonton, New Jersey, United States",1,Multi-Family,6000.00,57.191.208.239,Legitimate,Belgium
1019647,2022-05-07 07:35:34.000000,2022-05-07 07:46:56.000000,"Cole, Maximilian",m.cole@randatmail.com,(162)-065-7801,263-89-3242,"297 Greg Ports, Apt. 397, 28878-7638, Donnachester, Arkansas, United States",1,Multi-Family,58000.00,35.90.48.127,Fraud,United States
1020050,2022-01-06 20:21:10.000000,2022-01-06 20:29:21.000000,"Cole, Maximilian",m.cole@randatmail.com,(162)-065-7801,263-89-3242,"981 Hettinger Flats, Suite 386, 66467-2725, Timothystad, West Virginia, United States",2,Multi-Family,35000.00,92.198.77.217,Legitimate,Germany
102016,2022-03-25 08:13:08.000000,2022-03-25 08:16:42.000000,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"3816 Marques Springs, Apt. 949, 92681, West Marcelinoburgh, South Carolina, United States",3,Single-Family,21000.00,66.26.215.79,Legitimate,United States
1020453,2022-01-29 16:25:47.000000,2022-01-29 16:48:08.000000,"Cole, Maximilian",m.cole@randatmail.com,(162)-065-7801,263-89-3242,"028 Kale Islands, Suite 436, 84071-8682, Port Marshall, Iowa, United States",2,Multi-Family,35000.00,147.214.35.97,,Sweden
1020856,2022-01-14 08:29:50.000000,2022-01-14 08:33:11.000000,"Cole, Maximilian",m.cole@randatmail.com,(162)-065-7801,263-89-3242,"80625 Hoeger Shoal, Apt. 356, 38549-2507, South Austin, Texas, United States",3,Multi-Family,43000.00,146.150.7.116,Legitimate,United States
1021259,2022-03-01 10:17:52.000000,2022-03-01 10:29:47.000000,"Cole, Maximilian",m.cole@randatmail.com,(162)-065-7801,263-89-3242,"410 Kohler Stream, Apt. 728, 17789-1704, South Aliya, Michigan, United States",3,Multi-Family,24000.00,113.218.107.251,,China
1021662,2022-05-31 19:49:29.000000,2022-05-31 20:10:32.000000,"Cole, Olivia",o.cole@randatmail.com,(551)-325-9830,825-02-6922,"2386 Bernhard Junctions, Suite 838, 22291-0211, Legrosview, Iowa, United States",1,Single-Family,21000.00,190.104.180.119,,Paraguay
1022065,2022-05-22 17:15:19.000000,2022-05-22 17:31:17.000000,"Cole, Olivia",o.cole@randatmail.com,(551)-325-9830,825-02-6922,"13590 Willy Expressway, Suite 653, 75171-0908, Port Noelia, California, United States",1,Single-Family,34000.00,75.41.195.241,Legitimate,United States
1022468,2022-04-17 21:44:46.000000,2022-04-17 21:53:24.000000,"Cole, Olivia",o.cole@randatmail.com,(551)-325-9830,825-02-6922,"612 Garret Extensions, Suite 244, 75727-1028, New Corymouth, Montana, United States",2,Single-Family,41000.00,68.36.220.37,Legitimate,United States
1022871,2022-01-03 02:20:09.000000,2022-01-03 02:28:58.000000,"Cole, Olivia",o.cole@randatmail.com,(551)-325-9830,825-02-6922,"14223 Minerva Cliffs, Suite 544, 14819-1128, Lake Norenehaven, Minnesota, United States",2,Single-Family,52000.00,35.69.112.154,Fraud,United States
1023274,2022-02-06 19:41:01.000000,2022-02-06 20:02:52.000000,"Cole, Olivia",o.cole@randatmail.com,(551)-325-9830,825-02-6922,"2625 Ondricka Underpass, Suite 793, 70378-0836, Lake Alanna, Indiana, United States",3,Single-Family,35000.00,73.154.230.102,,United States
1023677,2022-03-29 21:50:09.000000,2022-03-29 21:59:00.000000,"Cole, Olivia",o.cole@randatmail.com,(551)-325-9830,825-02-6922,"85898 Thiel Manors, Suite 146, 50674, Satterfieldborough, Hawaii, United States",3,Single-Family,6000.00,140.76.68.91,Legitimate,United States
1024080,2022-02-19 14:33:40.000000,2022-02-19 14:48:43.000000,"Cole, Olivia",o.cole@randatmail.com,(551)-325-9830,825-02-6922,"65553 Runolfsson Junction, Suite 490, 43841, Lake Jayson, Florida, United States",1,Multi-Family,0.00,157.25.21.147,Legitimate,Poland
102419,2022-01-09 01:50:47.000000,2022-01-09 02:03:03.000000,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"94613 Jones Roads, Suite 314, 21084-4775, Schmittfurt, Oklahoma, United States",1,Multi-Family,40000.00,227.138.39.222,Legitimate,
1024483,2022-04-19 13:28:16.000000,2022-04-19 13:46:55.000000,"Cole, Olivia",o.cole@randatmail.com,(551)-325-9830,825-02-6922,"79159 Bogan Junctions, Suite 246, 26913-7448, Borerstad, Florida, United States",1,Multi-Family,55000.00,154.172.167.80,Fraud,Ghana
1024886,2022-03-31 00:21:36.000000,2022-03-31 00:27:38.000000,"Cole, Olivia",o.cole@randatmail.com,(551)-325-9830,825-02-6922,"743 Prosacco Estates, Apt. 844, 28963, Janniebury, Utah, United States",2,Multi-Family,38000.00,188.184.204.130,Legitimate,Switzerland
1025289,2022-03-28 12:03:15.000000,2022-03-28 12:17:57.000000,"Cole, Olivia",o.cole@randatmail.com,(551)-325-9830,825-02-6922,"1868 Alysson Loop, Apt. 507, 49229, Emmanuelleton, Georgia, United States",2,Multi-Family,33000.00,108.206.161.119,Legitimate,United States
1025692,2022-01-24 00:09:04.000000,2022-01-24 00:21:49.000000,"Cole, Olivia",o.cole@randatmail.com,(551)-325-9830,825-02-6922,"22131 Heaney Run, Apt. 417, 68268-0636, East Roel, Iowa, United States",3,Multi-Family,28000.00,238.10.225.108,Legitimate,
1026095,2022-02-19 05:33:33.000000,2022-02-19 05:45:57.000000,"Cole, Olivia",o.cole@randatmail.com,(551)-325-9830,825-02-6922,"5655 Sawayn Motorway, Apt. 203, 64072-5330, North Brandon, Michigan, United States",3,Multi-Family,57000.00,8.222.146.80,Fraud,Singapore
1026498,2022-04-03 23:58:40.000000,2022-04-04 00:20:26.000000,"Cole, Roman",r.cole@randatmail.com,(786)-801-4550,281-49-9389,"9250 Heaven Vista, Apt. 254, 93823-1619, Loriville, West Virginia, United States",1,Single-Family,31000.00,14.67.70.35,Legitimate,South Korea
1026901,2022-01-22 07:03:20.000000,2022-01-22 07:22:21.000000,"Cole, Roman",r.cole@randatmail.com,(786)-801-4550,281-49-9389,"267 Price Circle, Suite 843, 67813, Denesikmouth, Massachusetts, United States",1,Single-Family,14000.00,75.190.1.221,Legitimate,United States
1027304,2022-01-22 10:16:28.000000,2022-01-22 10:16:37.000000,"Cole, Roman",r.cole@randatmail.com,(786)-801-4550,281-49-9389,"6007 Dare River, Apt. 689, 60461-8143, Mannmouth, Wisconsin, United States",2,Single-Family,45000.00,194.86.199.217,Fraud,Finland
1027707,2022-04-30 08:41:24.000000,2022-04-30 08:52:21.000000,"Cole, Roman",r.cole@randatmail.com,(786)-801-4550,281-49-9389,"1072 Tremaine Trace, Suite 817, 60814, West Ivahhaven, Arizona, United States",2,Single-Family,9000.00,24.212.161.89,Legitimate,Canada
1028110,2022-01-17 19:16:30.000000,2022-01-17 19:30:00.000000,"Cole, Roman",r.cole@randatmail.com,(786)-801-4550,281-49-9389,"27848 Ruecker Ridge, Apt. 587, 04751, Yvonneside, Delaware, United States",3,Single-Family,29000.00,88.174.134.146,Legitimate,France
102822,2022-02-27 10:55:51.000000,2022-02-27 11:15:11.000000,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"8151 Isac Inlet, Apt. 860, 07158-1336, Kaiatown, Alaska, United States",1,Multi-Family,48000.00,254.210.87.122,Legitimate,
1028513,2022-05-01 09:34:59.000000,2022-05-01 09:55:44.000000,"Cole, Roman",r.cole@randatmail.com,(786)-801-4550,281-49-9389,"717 Lilyan Loop, Suite 884, 96418-0167, North Guadalupe, Washington, United States",3,Single-Family,3000.00,6.23.238.89,Legitimate,United States
1028916,2022-03-19 18:24:44.000000,2022-03-19 18:28:59.000000,"Cole, Roman",r.cole@randatmail.com,(786)-801-4550,281-49-9389,"32405 Nickolas Forks, Suite 866, 91233-1014, East Kristianton, Arkansas, United States",1,Multi-Family,57000.00,50.209.35.193,Fraud,United States
1029319,2022-01-05 18:55:28.000000,2022-01-05 19:09:22.000000,"Cole, Roman",r.cole@randatmail.com,(786)-801-4550,281-49-9389,"040 Elsa Crossroad, Apt. 829, 67230, New Retha, Kentucky, United States",1,Multi-Family,12000.00,56.176.111.243,Legitimate,United States
1029722,2022-02-20 00:25:18.000000,2022-02-20 00:25:24.000000,"Cole, Roman",r.cole@randatmail.com,(786)-801-4550,281-49-9389,"62251 Cormier Place, Apt. 794, 76943-6871, Lake Juliechester, Washington, United States",2,Multi-Family,24000.00,154.55.247.202,Fraud,United States
1030125,2022-05-04 15:20:14.000000,2022-05-04 15:36:03.000000,"Cole, Roman",r.cole@randatmail.com,(786)-801-4550,281-49-9389,"6953 Fermin Union, Apt. 322, 53224-5161, New Emmyside, Idaho, United States",2,Multi-Family,11000.00,164.221.250.68,Legitimate,United States
1030528,2022-05-04 05:49:02.000000,2022-05-04 05:50:58.000000,"Cole, Roman",r.cole@randatmail.com,(786)-801-4550,281-49-9389,"6125 Marquise Corners, Apt. 012, 81693, Elbertport, North Dakota, United States",3,Multi-Family,24000.00,188.178.213.229,,Denmark
1030931,2022-01-20 22:34:06.000000,2022-01-20 22:39:19.000000,"Cole, Roman",r.cole@randatmail.com,(786)-801-4550,281-49-9389,"256 Berge Plaza, Suite 966, 98270-1927, Schmidtfort, Virginia, United States",3,Multi-Family,34000.00,156.118.44.94,Legitimate,France
1031334,2022-04-16 07:13:05.000000,2022-04-16 07:17:26.000000,"Cole, Stuart",s.cole@randatmail.com,(943)-952-5901,863-02-2510,"506 Prohaska Courts, Apt. 839, 67196, East Bellaview, Massachusetts, United States",1,Single-Family,11000.00,122.214.87.219,Legitimate,Japan
1031737,2022-03-12 08:42:06.000000,2022-03-12 09:02:02.000000,"Cole, Stuart",s.cole@randatmail.com,(943)-952-5901,863-02-2510,"2420 Ottilie Courts, Apt. 971, 69257-8942, New Makenna, Kansas, United States",1,Single-Family,19000.00,39.163.173.208,,China
1032140,2022-02-04 17:06:28.000000,2022-02-04 17:07:39.000000,"Cole, Stuart",s.cole@randatmail.com,(943)-952-5901,863-02-2510,"8533 Gleichner Key, Suite 485, 96919-0268, Langworthchester, Oregon, United States",2,Single-Family,8000.00,148.96.97.199,Legitimate,United States
103225,2022-01-17 05:18:42.000000,2022-01-17 05:27:36.000000,"Adams, Antony",a.adams@randatmail.com,(869)-447-8731,409-93-6635,"262 Terrence Drive, Apt. 584, 04196-5758, Richardfort, Kansas, United States",2,Multi-Family,26000.00,124.253.102.41,Legitimate,India
1032543,2022-02-15 22:20:24.000000,2022-02-15 22:42:43.000000,"Cole, Stuart",s.cole@randatmail.com,(943)-952-5901,863-02-2510,"46349 Myles Pine, Suite 332, 11307, North Martybury, Mississippi, United States",2,Single-Family,52000.00,238.77.63.90,,
1032946,2022-03-14 08:51:37.000000,2022-03-14 08:55:34.000000,"Cole, Stuart",s.cole@randatmail.com,(943)-952-5901,863-02-2510,"3590 Armstrong Viaduct, Apt. 463, 40650, West Asiaside, Arkansas, United States",3,Single-Family,18000.00,174.125.194.215,Legitimate,United States
1033349,2022-01-09 09:22:54.000000,2022-01-09 09:32:10.000000,"Cole, Stuart",s.cole@randatmail.com,(943)-952-5901,863-02-2510,"93828 Garnet Station, Apt. 449, 70316, Carterton, Vermont, United States",3,Single-Family,0.00,105.219.19.168,Legitimate,South Africa
1033752,2022-03-09 00:35:37.000000,2022-03-09 00:40:45.000000,"Cole, Stuart",s.cole@randatmail.com,(943)-952-5901,863-02-2510,"751 Metz Branch, Apt. 184, 82521, Hoegerborough, Oklahoma, United States",1,Multi-Family,9000.00,138.46.236.72,Legitimate,United States
1034155,2022-01-30 20:32:27.000000,2022-01-30 20:38:42.000000,"Cole, Stuart",s.cole@randatmail.com,(943)-952-5901,863-02-2510,"964 Natalia Crossing, Apt. 214, 88331, Port Krista, North Dakota, United States",1,Multi-Family,38000.00,128.31.239.176,Legitimate,United States
1034558,2022-06-01 04:10:42.000000,2022-06-01 04:22:39.000000,"Cole, Stuart",s.cole@randatmail.com,(943)-952-5901,863-02-2510,"604 Stiedemann Mews, Suite 951, 33525, West Marquiseport, Utah, United States",2,Multi-Family,15000.00,33.214.195.55,Legitimate,United States
1034961,2022-02-07 16:39:14.000000,2022-02-07 16:59:23.000000,"Cole, Stuart",s.cole@randatmail.com,(943)-952-5901,863-02-2510,"987 Krista Flats, Suite 434, 75561, East Leoville, Indiana, United States",2,Multi-Family,37000.00,198.170.57.244,Legitimate,United States
